DT_NOTIFIC,CASOS,ANO,MES,MEDIA_MOVEL,CASOS_LOG,CASOS_LOG_DIFF
2016-12-31,1147,2016,12,1151.0,3.0595634179012676,-0.05471387866031874
2017-01-31,1005,2017,1,1123.6666666666667,3.002166061756508,-0.057397356144759826
2017-02-28,1219,2017,2,1552.3333333333333,3.0860037056183818,0.08383764386187398
2017-03-31,2433,2017,3,2366.3333333333335,3.3861421089308186,0.3001384033124368
2017-04-30,3447,2017,4,3718.0,3.5374412834079476,0.15129917447712904
2017-05-31,5274,2017,5,4418.666666666667,3.7221401254574156,0.18469884204946796
2017-06-30,4535,2017,6,4361.0,3.656577291396114,-0.0655628340613017
2017-07-31,3274,2017,7,3384.3333333333335,3.5150786750759226,-0.14149861632019123
2017-08-31,2344,2017,8,2465.0,3.369957607346053,-0.14512106772986977
2017-09-30,1777,2017,9,2003.6666666666667,3.2496874278053016,-0.12027017954075125
2017-10-31,1890,2017,10,1711.3333333333333,3.2764618041732443,0.026774376367942665
2017-11-30,1467,2017,11,1520.3333333333333,3.166430113843283,-0.1100316903299614
2017-12-31,1204,2017,12,1257.6666666666667,3.0806264869218056,-0.08580362692147725
2018-01-31,1102,2018,1,1067.6666666666667,3.042181594515766,-0.03844489240603943
2018-02-28,897,2018,2,1411.6666666666667,2.952792443044092,-0.08938915147167403
2018-03-31,2236,2018,3,3251.0,3.3494717992143856,0.3966793561702935
2018-04-30,6620,2018,4,6058.666666666667,3.8208579894397,0.47138619022531447
2018-05-31,9320,2018,5,8080.333333333333,3.9694159123539814,0.14855792291428127
2018-06-30,8301,2018,6,8190.333333333333,3.9191304138606142,-0.050285498493367164
2018-07-31,6950,2018,7,6483.333333333333,3.8419848045901137,-0.07714560927050051
2018-08-31,4199,2018,8,4630.333333333333,3.6231458746379395,-0.21883892995217424
2018-09-30,2742,2018,9,3132.0,3.438067450453494,-0.18507842418444564
2018-10-31,2455,2018,10,2426.3333333333335,3.3900514964589874,-0.04801595399450642
2018-11-30,2082,2018,11,2077.0,3.3184807251745174,-0.07157077128446998
2018-12-31,1694,2018,12,1693.0,3.228913405994688,-0.08956731917982941
2019-01-31,1303,2019,1,1606.0,3.1149444157125847,-0.11396899028210328
2019-02-28,1821,2019,2,2324.0,3.26030994579492,0.14536553008233533
2019-03-31,3848,2019,3,3929.0,3.5852350633657752,0.3249251175708552
2019-04-30,6118,2019,4,6110.333333333333,3.78660947264866,0.20137440928288486
2019-05-31,8365,2019,5,7412.0,3.922465945298413,0.1358564726497531
2019-06-30,7753,2019,6,7307.666666666667,3.889469783969507,-0.03299616132890604
2019-07-31,5805,2019,7,5830.0,3.7638022240745928,-0.1256675598949144
2019-08-31,3932,2019,8,4262.666666666667,3.594613509160098,-0.16918871491449483
2019-09-30,3051,2019,9,3210.0,3.484442207642407,-0.11017130151769106
2019-10-31,2647,2019,10,2562.3333333333335,3.422753941301348,-0.06168826634105873
2019-11-30,1989,2019,11,2160.6666666666665,3.2986347831244354,-0.12411915817691277
2019-12-31,1846,2019,12,1352.6666666666667,3.266231696689893,-0.03240308643454215
2020-01-31,223,2020,1,696.6666666666666,2.3483048630481607,-0.9179268336417326
2020-02-29,21,2020,2,87.0,1.3222192947339193,-1.0260855683142414
2020-03-31,17,2020,3,13.666666666666666,1.2304489213782739,-0.09177037335564542
2020-04-30,3,2020,4,,0.47712125471966244,-0.7533276666586115
